0: 22ms
1: 85ms
2: 86ms
3: 87ms
4: 88ms
5: 89ms
6: 90ms
7: 91ms
8: 91ms
9: 92ms
10: 93ms
11: 94ms
12: 94ms
13: 95ms
14: 96ms
15: 96ms
16: 97ms
17: 97ms
18: 98ms
19: 98ms
20: 99ms
21: 99ms
22: 100ms
23: 100ms
24: 101ms
25: 101ms
26: 102ms
27: 102ms
28: 103ms
29: 103ms
30: 104ms
31: 104ms
32: 105ms
33: 105ms
34: 106ms
35: 106ms
36: 107ms
37: 107ms
38: 107ms
39: 108ms
40: 108ms
41: 109ms
42: 109ms
43: 110ms
44: 110ms
45: 110ms
46: 111ms
47: 111ms
48: 112ms
49: 112ms
50: 113ms
51: 113ms
52: 113ms
53: 114ms
54: 114ms
55: 115ms
56: 115ms
57: 116ms
58: 116ms
59: 116ms
60: 117ms
61: 117ms
62: 117ms
63: 118ms
64: 118ms
65: 119ms
66: 119ms
67: 119ms
68: 120ms
69: 120ms
70: 120ms
71: 121ms
72: 121ms
73: 121ms
74: 122ms
75: 122ms
76: 123ms
77: 123ms
78: 123ms
79: 124ms
80: 124ms
81: 124ms
82: 125ms
83: 125ms
84: 125ms
85: 126ms
86: 128ms
87: 128ms
88: 128ms
89: 129ms
90: 129ms
91: 130ms
92: 130ms
93: 130ms
94: 131ms
95: 133ms
96: 134ms
97: 134ms
98: 135ms
99: 135ms
100: 135ms
101: 136ms
102: 136ms
103: 136ms
104: 137ms
105: 137ms
106: 137ms
107: 138ms
108: 138ms
109: 138ms
110: 139ms
111: 139ms
112: 139ms
113: 140ms
114: 140ms
115: 140ms
116: 141ms
117: 141ms
118: 142ms
119: 142ms
120: 142ms
121: 142ms
122: 143ms
123: 143ms
124: 144ms
125: 144ms
126: 144ms
127: 149ms
128: 149ms
129: 150ms
130: 150ms
131: 150ms
132: 151ms
133: 151ms
134: 151ms
135: 151ms
136: 152ms
137: 152ms
138: 152ms
139: 152ms
140: 153ms
141: 153ms
142: 153ms
143: 153ms
144: 154ms
145: 154ms
146: 154ms
147: 155ms
148: 155ms
149: 155ms
150: 155ms
151: 156ms
152: 156ms
153: 156ms
154: 156ms
155: 157ms
156: 157ms
157: 157ms
158: 157ms
159: 158ms
160: 158ms
161: 158ms
162: 159ms
163: 159ms
164: 159ms
165: 159ms
166: 160ms
167: 160ms
168: 160ms
174: 161ms
175: 161ms
176: 161ms
177: 161ms
178: 162ms
179: 162ms
180: 162ms
181: 162ms
182: 163ms
183: 163ms
184: 163ms
185: 163ms
186: 164ms
187: 164ms
188: 164ms
189: 164ms
190: 165ms
191: 165ms
192: 165ms
193: 165ms
194: 165ms
195: 166ms
196: 166ms
197: 166ms
198: 166ms
199: 167ms
200: 167ms
201: 167ms
202: 167ms
203: 168ms
204: 168ms
205: 168ms
206: 168ms
207: 168ms
208: 169ms
209: 169ms
210: 169ms
211: 170ms
212: 170ms
213: 170ms
214: 170ms
215: 170ms
310: 171ms
311: 171ms
312: 171ms
313: 171ms
314: 172ms
315: 172ms
316: 172ms
317: 172ms
318: 172ms
319: 172ms
320: 172ms
321: 173ms
322: 173ms
323: 173ms
324: 173ms
325: 173ms
326: 173ms
327: 173ms
328: 174ms
329: 174ms
330: 174ms
331: 174ms
332: 174ms
333: 174ms
334: 174ms
335: 174ms
336: 175ms
337: 175ms
338: 175ms
339: 175ms
340: 175ms
341: 175ms
342: 176ms
343: 176ms
344: 176ms
345: 176ms
346: 177ms
347: 177ms
348: 177ms
349: 177ms
350: 177ms
351: 178ms
563: 178ms
564: 178ms
565: 178ms
566: 179ms
567: 180ms
568: 180ms
569: 180ms
570: 180ms
571: 180ms
572: 181ms
573: 181ms
574: 181ms
575: 181ms
576: 181ms
577: 182ms
578: 182ms
579: 182ms
580: 182ms
581: 183ms
582: 183ms
583: 183ms
584: 183ms
585: 183ms
586: 184ms
587: 184ms
588: 184ms
589: 184ms
590: 184ms
591: 185ms
592: 185ms
593: 185ms
594: 185ms
595: 185ms
596: 186ms
597: 186ms
598: 186ms
599: 186ms
600: 186ms
601: 230ms
602: 230ms
603: 231ms
604: 231ms
605: 231ms
606: 232ms
607: 232ms
608: 232ms
609: 233ms
610: 233ms
611: 233ms
612: 234ms
613: 234ms
614: 234ms
615: 234ms
616: 235ms
617: 235ms
618: 235ms
619: 236ms
620: 236ms
621: 236ms
622: 237ms
623: 237ms
624: 237ms
625: 240ms
626: 240ms
627: 240ms
628: 241ms
629: 241ms
630: 241ms
631: 241ms
632: 241ms
633: 242ms
634: 242ms
635: 242ms
636: 242ms
637: 243ms
638: 243ms
639: 243ms
640: 243ms
641: 243ms
642: 244ms
643: 244ms
644: 244ms
645: 244ms
646: 244ms
647: 244ms
648: 245ms
649: 245ms
650: 245ms
651: 245ms
652: 245ms
653: 246ms
654: 246ms
655: 246ms
656: 246ms
657: 246ms
658: 247ms
659: 247ms
660: 247ms
661: 247ms
662: 247ms
663: 247ms
664: 248ms
665: 248ms
666: 248ms
667: 248ms
668: 248ms
669: 248ms
670: 249ms
671: 249ms
672: 249ms
673: 249ms
674: 249ms
675: 249ms
676: 250ms
677: 250ms
678: 250ms
679: 250ms
680: 250ms
681: 251ms
682: 251ms
683: 251ms
684: 251ms
685: 251ms
686: 267ms
687: 268ms
688: 268ms
689: 268ms
690: 268ms
691: 268ms
692: 269ms
693: 269ms
694: 269ms
695: 269ms
696: 269ms
697: 270ms
698: 270ms
699: 270ms
700: 270ms
701: 270ms
702: 270ms
703: 271ms
704: 271ms
705: 271ms
706: 271ms
707: 271ms
708: 271ms
709: 272ms
710: 272ms
711: 272ms
712: 272ms
713: 272ms
714: 272ms
715: 273ms
716: 273ms
717: 273ms
718: 273ms
719: 273ms
720: 273ms
721: 274ms
722: 274ms
723: 274ms
724: 274ms
725: 274ms
726: 274ms
727: 275ms
728: 275ms
729: 275ms
730: 275ms
731: 275ms
732: 276ms
733: 276ms
734: 276ms
735: 276ms
736: 276ms
737: 276ms
738: 276ms
739: 277ms
740: 277ms
741: 277ms
742: 277ms
743: 277ms
744: 277ms
745: 278ms
746: 278ms
747: 278ms
748: 278ms
749: 278ms
750: 278ms
751: 279ms
752: 279ms
753: 279ms
754: 279ms
755: 279ms
756: 279ms
757: 280ms
758: 280ms
759: 280ms
760: 280ms
761: 280ms
762: 280ms
763: 281ms
764: 281ms
765: 281ms
766: 281ms
767: 281ms
768: 281ms
769: 282ms
770: 282ms
771: 282ms
772: 282ms
773: 282ms
774: 282ms
775: 283ms
776: 283ms
777: 283ms
778: 283ms
779: 288ms
780: 288ms
781: 288ms
782: 288ms
783: 288ms
784: 289ms
785: 289ms
786: 289ms
787: 289ms
788: 289ms
789: 289ms
790: 290ms
791: 290ms
792: 290ms
793: 290ms
794: 290ms
795: 290ms
796: 290ms
797: 291ms
798: 291ms
